data,indice
01-02-2020,25.0
02-02-2020,32.4
03-02-2020,20.3
05-02-2020,21.1
09-02-2020,30.1
07-02-2020,16.5
06-02-2020,20.0
08-02-2020,20.4
08-03-2020,35.0
10-02-2020,17.6
14-02-2020,17.9
11-02-2020,18.0
12-02-2020,17.6
15-02-2020,23.9
16-02-2020,32.0
17-02-2020,17.8
19-02-2020,21.4
22-02-2020,25.7
23-02-2020,34.1
26-02-2020,28.8
24-02-2020,31.3
25-02-2020,37.9
27-02-2020,21.2
02-03-2020,22.3
28-02-2020,20.2
29-02-2020,24.2
01-03-2020,35.9
03-03-2020,31.2
04-03-2020,24.4
06-03-2020,22.6
09-03-2020,23.3
07-03-2020,24.4
11-03-2020,21.9
13-03-2020,23.9
12-03-2020,23.3
14-03-2020,37.4
15-03-2020,51.3
17-03-2020,29.9
16-03-2020,38.5
26-03-2020,57.6
19-03-2020,35.0
20-03-2020,38.2
21-03-2020,58.0
22-03-2020,69.6
23-03-2020,55.6
24-03-2020,56.0
25-03-2020,57.3
27-03-2020,53.5
28-03-2020,56.0
29-03-2020,64.2
31-03-2020,53.1
30-03-2020,52.0
03-04-2020,50.5
01-04-2020,47.2
02-04-2020,53.8
04-04-2020,53.6
05-04-2020,62.2
06-04-2020,50.6
09-04-2020,47.4
08-04-2020,48.9
10-04-2020,58.6
11-04-2020,51.3
12-04-2020,59.8
13-04-2020,46.2
14-04-2020,52.0
15-04-2020,46.7
16-04-2020,49.2
21-04-2020,59.5
20-04-2020,50.8
17-04-2020,49.1
18-04-2020,51.0
19-04-2020,62.3
27-04-2020,48.0
22-04-2020,47.8
28-04-2020,49.6
01-05-2020,52.7
29-04-2020,52.7
26-04-2020,59.0
25-04-2020,50.1
23-04-2020,46.0
24-04-2020,47.6
30-04-2020,39.6
07-04-2020,49.5
01-05-2020,52.7
